Intervention,Comparison group,Target population,Strength of evidence,Effects and effect size,Source,Baseline* coverage ,scaled-up coverage
WASTING MANAGEMENT AND TREATMENT,,,,,,,
Ethiopian guidelines management of moderate and severe acute malnutrition ,No treatment,"Children experiencing, MAM and SAM",Strong,Duration of MAM with treatment; duration of MAM without treatment; duration of SAM with treatment; duration of SAM without treatment,No studies directly report this due to ethical ground. We will generate estimates based on available evidence.,TBD ,90%
Ready to use supplementary food (RUSF) for MAM,Corn-soy blend ,6-59 mo,Strong ,Reduction of severe wasting (RR: 0.74; 95% CI:0.57 to 0.95; 3 studies),Das et al Nutrients 20209,TBD ,90%
WASTING PREVENTION,,,,,,,
Preventive lipid-based nutrition Supplements (SQ-LNS),Placebo or no intervention,6-23 mo ,Strong ,"Severe stunting (RR 0·83, 95% CI 0·70–0·99, 4 studies); moderate stunting (RR 0·92, 0·84–1·00, 7 studies); moderate wasting (RR 0·83, 0·73–0·95, 8 studies); moderate underweight (RR 0·88, 0·80–0·96, 7 studies) ",Das et al. Cochrane Database Sys Rev 201910,0,90%
INFECTIOUS DISEASE RISK FACTOR PREVENTION ,,,,,,,
Breast feeding promotion and counselling,Standard of care ,Infants,Strong ,"Early initiation of breastfeeding (RR 1·20, 95% CI 1·12–1·28, 14 studies); Exclusive breastfeeding at 3 months (RR 2·02, 1·88–2·17, 6 studies); exclusive breastfeeding at 6 months (RR 1·53, 1·47–1·58, 19 studies, GRADE: very low); prevalence of diarrhea (RR 0·76, 0·67–0·85, 8 studies) ",Lassi et al Nutrients 202011,TBD ,90%
Community kangaroo mother care,Standard of care,LBW newborns,Strong,"Exclusive breastfeeding at 6 to 12 months follow up: RR 3·03, 95% CI 2·31 to 3·97, four studies; mortality at latest follow up: RR 0·74, 95% CI 0·61 to 0·89, 14 studies; severe infection/sepsis at latest follow up: RR 0·85, 95% CI 0·79 to 0·92, nine studies;",Conde-Agudelo et al Cochrane Database Sys Rev 201612 and Keats et al Lancet and Child Adolesc Health 20215,0,90%
Therapeutic zinc,No zinc,6-23 mo,Strong ,MD 11·5 h reduction in duration of diarrhea(95% CI 3·2–19·7); MD 15·8 h reduction in duration of persistent diarrhea (6·2–25·4); 57% increase (95% CI 32–86) in vomiting,Lazzerini et al. Cochrane Database Sys Rev 201613,TBD ,90%
Preventive zinc,Placebo or no intervention,1-59 mo,Moderate,"Incidence of diarrhea (RR 0·89, 95% CI 0·82–0·97, 11 studies); zinc deficiency (RR 0·37, 0·22–0·62, 11 studies); plasma serum zinc (MD 3·85, 2·48–5·23, 19 studies) ",Tam et al Nutrients 202014,TBD ,90%
Preventive vitamin A supplementation  ,Placebo or no intervention,1-59 mo; 6-59 mo,Strong,"Plasma retinol concentration (MD 0·33 ?mol/L, 95% CI 0·01–0·65, 3 studies); Incidence of diarrhea (RR 0.85, 95% CI 0.82 to 0.87; 15 studies; 77,946 participants; low?quality evidence); measles (RR 0.50, 95% CI 0.37 to 0.67; 6 studies; 19,566 participants; moderate?quality evidence)",Keats et al Lancet and Child Adolesc Health 20215; Imdad et al Cochrane Database Sys Rev 2017,TBD ,90%
LOW BIRTHWEIGHT PREVENTION,,,,,,,
Multiple micronutrient Supplementation (MMS),Iron with or without folic acid,Pregnant women,Strong,"Fetal and newborn: Low birthweight (RR 0·85, 95% CI 0·77–0·93, 28 studies, GRADE: high); stillbirths† (RR 0·91, 0·86–0·98, 22 studies); SGA‡ (RR 0·93, 0·88–0·98, 19 studies); preterm births§ (RR 0·96, 0·91–1·01, 29 studies); Childhood: Executive function (SMD 0·09, 95% CI 0·01–0·17, 3 studies); diarrhea incidence (RR 0·84, 95% CI 0·76–0·92, 4 studies); retinol concentration (MD 0·06 ?mol/L, 95% CI 0·02–0·09, 3 studies) ",Oh C et al. Nutrients 202015,0,90%
Balanced energy-protein supplementation,No intervention or low energy supplement,Pregnant women,Moderate,40% (95%CI: 14–59) reduction in low birthweight; 61% (95%CI: 20–81) reduction in risk of stillbirth; 29% reduction (95%CI6–46) in SGA,Lassi et al. Nutrients 2020 16,0,90%
Intermittent preventative treatment of malaria during pregnancy,Placebo or no intervention,Pregnant women in areas where there is malaria risk,Strong,"increases mean birthweight by around 93 g (MD 92.72 g, 95% CI 62.05 to 123.39; nine trials, 3936 participants, moderate quality evidence), reduces low birthweight by around 27% (RR 0.73, 95% CI 0.61 to 0.87; eight trials, 3619 participants, moderate quality evidence)",Denitsa Radeva-Petrova et al Cochrane Database Sys Rev 201417,TBD ,90%
Long-lasting insecticide treated bed nets,No nets,Everyone in areas where there is malaria risk,Strong,"Reduced low birthweight (RR 0·77, 95% CI 0·61–0·98)",Gamble et al Cochrane Database Sys Rev 200918,TBD ,90%
"TBD: to be determined;*Baseline coverage of interventions will be obtained from DHS, MICs, GBD or LiST tool. If not found, then we will assume 0% baseline coverage.",,,,,,,
