,age_start,age_end,sex,race_ethnicity,relationship,proportion
0,0,15,Female,AIAN,Adopted child,0.006823133017940309
1,0,15,Female,AIAN,Biological child,0.16742685727540235
2,0,15,Female,AIAN,Child-in-law,0.0
3,0,15,Female,AIAN,Foster child,0.09783880220667474
4,0,15,Female,AIAN,Grandchild,0.41025313001778
5,0,15,Female,AIAN,Opp-sex partner,0.0
6,0,15,Female,AIAN,Opp-sex spouse,0.0
7,0,15,Female,AIAN,Other nonrelative,0.11024402579758966
8,0,15,Female,AIAN,Other relative,0.15350118346951552
9,0,15,Female,AIAN,Parent,0.0
10,0,15,Female,AIAN,Parent-in-law,0.0
11,0,15,Female,AIAN,Roommate,0.005128943543851763
12,0,15,Female,AIAN,Same-sex partner,0.0
13,0,15,Female,AIAN,Same-sex spouse,0.0
14,0,15,Female,AIAN,Sibling,0.005168932096663508
15,0,15,Female,AIAN,Stepchild,0.04361499257458204
16,0,15,Female,Asian,Adopted child,0.006284353675638378
17,0,15,Female,Asian,Biological child,0.3089238138332659
18,0,15,Female,Asian,Child-in-law,0.0
19,0,15,Female,Asian,Foster child,0.038106320814605486
20,0,15,Female,Asian,Grandchild,0.3066562477960243
21,0,15,Female,Asian,Opp-sex partner,0.0
22,0,15,Female,Asian,Opp-sex spouse,0.0
23,0,15,Female,Asian,Other nonrelative,0.07815304075637784
24,0,15,Female,Asian,Other relative,0.21220229270806085
25,0,15,Female,Asian,Parent,0.0
26,0,15,Female,Asian,Parent-in-law,0.0
27,0,15,Female,Asian,Roommate,0.004726062980499762
28,0,15,Female,Asian,Same-sex partner,0.0
29,0,15,Female,Asian,Same-sex spouse,0.0
30,0,15,Female,Asian,Sibling,0.004761470675594094
31,0,15,Female,Asian,Stepchild,0.04018639675993338
32,0,15,Female,Black,Adopted child,0.009822710419676152
33,0,15,Female,Black,Biological child,0.17180963579524558
34,0,15,Female,Black,Child-in-law,0.0
35,0,15,Female,Black,Foster child,0.07314576644126093
36,0,15,Female,Black,Grandchild,0.4660913909322004
37,0,15,Female,Black,Opp-sex partner,0.0
38,0,15,Female,Black,Opp-sex spouse,0.0
39,0,15,Female,Black,Other nonrelative,0.078904459217644
40,0,15,Female,Black,Other relative,0.14367301006078056
41,0,15,Female,Black,Parent,0.0
42,0,15,Female,Black,Parent-in-law,0.0
43,0,15,Female,Black,Roommate,0.005816228184906708
44,0,15,Female,Black,Same-sex partner,0.0
45,0,15,Female,Black,Same-sex spouse,0.0
46,0,15,Female,Black,Sibling,0.005864031344424326
47,0,15,Female,Black,Stepchild,0.04487276760386123
