age_start,age_end,sex,race_ethnicity,born_in_us,state,non_reference_person_emigration_rate
0,15,Female,AIAN,0,1,0.0010453441298305
0,15,Female,AIAN,0,2,0.0022300674769718
0,15,Female,AIAN,0,4,0.0006968960865537
0,15,Female,AIAN,0,5,0.0008362753038644
0,15,Female,AIAN,0,6,0.0224599653037883
0,15,Female,AIAN,0,8,0.0008362753038644
0,15,Female,AIAN,0,9,0.0050176518231867
0,15,Female,AIAN,0,10,0.0008362753038644
0,15,Female,AIAN,0,11,0.0008362753038644
0,15,Female,AIAN,0,12,0.0025848509392174
0,15,Female,AIAN,0,13,0.0019513090423504
0,15,Female,AIAN,0,15,0.0008362753038644
0,15,Female,AIAN,0,16,0.0004181376519322
0,15,Female,AIAN,0,17,0.0033451012154578
0,15,Female,AIAN,0,18,0.0016725506077289
0,15,Female,AIAN,0,19,0.0008362753038644
0,15,Female,AIAN,0,20,0.0008362753038644
0,15,Female,AIAN,0,21,0.0008362753038644
0,15,Female,AIAN,0,22,0.0008362753038644
0,15,Female,AIAN,0,23,0.0016725506077289
0,15,Female,AIAN,0,24,0.0011707854254102
0,15,Female,AIAN,0,25,0.0100353036463735
0,15,Female,AIAN,0,26,0.0036238596500793
0,15,Female,AIAN,0,27,0.0011150337384859
0,15,Female,AIAN,0,28,0.0
0,15,Female,AIAN,0,29,0.0025088259115933
0,15,Female,AIAN,0,30,0.0
0,15,Female,AIAN,0,31,0.0008362753038644
0,15,Female,AIAN,0,32,0.0025088259115933
0,15,Female,AIAN,0,33,0.0008362753038644
0,15,Female,AIAN,0,34,0.0033451012154578
0,15,Female,AIAN,0,35,0.0008362753038644
0,15,Female,AIAN,0,36,0.0014152351296167
0,15,Female,AIAN,0,37,0.0008362753038644
0,15,Female,AIAN,0,38,0.0008362753038644
0,15,Female,AIAN,0,39,0.0013937921731074
0,15,Female,AIAN,0,40,0.0008362753038644
0,15,Female,AIAN,0,41,0.0016725506077289
0,15,Female,AIAN,0,42,0.0027875843462148
0,15,Female,AIAN,0,44,0.0008362753038644
0,15,Female,AIAN,0,45,0.0008362753038644
0,15,Female,AIAN,0,46,0.0008362753038644
0,15,Female,AIAN,0,47,0.0008362753038644
0,15,Female,AIAN,0,48,0.0114290958194809
0,15,Female,AIAN,0,49,0.0008362753038644
0,15,Female,AIAN,0,50,0.0008362753038644
0,15,Female,AIAN,0,51,0.0041813765193222
0,15,Female,AIAN,0,53,0.0012544129557966
0,15,Female,AIAN,0,54,0.0008362753038644
0,15,Female,AIAN,0,55,0.0004181376519322
0,15,Female,AIAN,0,56,0.0008362753038644
0,15,Female,AIAN,1,1,0.0001212351771874
0,15,Female,AIAN,1,2,1.7302247666161225e-05
0,15,Female,AIAN,1,4,0.0004091523455207
0,15,Female,AIAN,1,5,0.0001103171677438
0,15,Female,AIAN,1,6,0.0003449026690112
0,15,Female,AIAN,1,8,0.0002077023630513
0,15,Female,AIAN,1,9,0.0003315628958052
0,15,Female,AIAN,1,10,0.0003072031728481
0,15,Female,AIAN,1,11,0.0005395324541061
0,15,Female,AIAN,1,12,0.0003804950895928
0,15,Female,AIAN,1,13,0.0002399150461906
0,15,Female,AIAN,1,15,0.0003675935401602
0,15,Female,AIAN,1,16,0.0001112068223224
0,15,Female,AIAN,1,17,0.0006404142157482
0,15,Female,AIAN,1,18,0.0002102239023526
0,15,Female,AIAN,1,19,0.000108035565571
0,15,Female,AIAN,1,20,0.0001730224766616
0,15,Female,AIAN,1,21,0.0001838363814529
0,15,Female,AIAN,1,22,0.0005466157014086
0,15,Female,AIAN,1,23,9.973925642420156e-05
0,15,Female,AIAN,1,24,0.0003675935401602
0,15,Female,AIAN,1,25,0.0004123781801425
0,15,Female,AIAN,1,26,0.0007725381584976
0,15,Female,AIAN,1,27,0.000424717786655
0,15,Female,AIAN,1,28,6.998119697610537e-05
0,15,Female,AIAN,1,29,0.0001668379658582
0,15,Female,AIAN,1,30,0.0009317061193204
0,15,Female,AIAN,1,31,0.0001535191379074
0,15,Female,AIAN,1,32,0.000232749760946
0,15,Female,AIAN,1,33,0.000240572347687
0,15,Female,AIAN,1,34,0.0003948631952987
0,15,Female,AIAN,1,35,0.0001218774678371
0,15,Female,AIAN,1,36,0.0017002214817538
0,15,Female,AIAN,1,37,0.0003036790858178
0,15,Female,AIAN,1,38,2.195472158116719e-05
0,15,Female,AIAN,1,39,0.0001922626502453
0,15,Female,AIAN,1,40,1.955654942222009e-05
0,15,Female,AIAN,1,41,0.0001902337965997
0,15,Female,AIAN,1,42,0.0012572286975605
0,15,Female,AIAN,1,44,0.0002181587749211
0,15,Female,AIAN,1,45,0.0001825095940029
0,15,Female,AIAN,1,46,2.790906854374834e-05
0,15,Female,AIAN,1,47,0.0001801208346784
0,15,Female,AIAN,1,48,0.0002905864874666
0,15,Female,AIAN,1,49,0.000177068495461
0,15,Female,AIAN,1,50,0.0002027334069974
0,15,Female,AIAN,1,51,0.0003332284735705
0,15,Female,AIAN,1,53,0.0002001491362006
0,15,Female,AIAN,1,54,8.896545785792119e-05
0,15,Female,AIAN,1,55,9.360145602886606e-05
0,15,Female,AIAN,1,56,5.97339502760328e-05
0,15,Female,Asian,0,1,0.0063381553937645
0,15,Female,Asian,0,2,0.032236421832299
0,15,Female,Asian,0,4,0.0113271675275971
0,15,Female,Asian,0,5,0.0156829644786377
0,15,Female,Asian,0,6,0.0138296708127386
0,15,Female,Asian,0,8,0.0126331133971177
0,15,Female,Asian,0,9,0.0164097185371732
0,15,Female,Asian,0,10,0.0102772449292525
0,15,Female,Asian,0,11,0.0352490040578869
0,15,Female,Asian,0,12,0.016700207958781
0,15,Female,Asian,0,13,0.0111333071267957
0,15,Female,Asian,0,15,0.0088985156198862
0,15,Female,Asian,0,16,0.0066541905757253
0,15,Female,Asian,0,17,0.0093746287701396
0,15,Female,Asian,0,18,0.0094951929422
0,15,Female,Asian,0,19,0.0072270705272237
0,15,Female,Asian,0,20,0.0109603726601077
0,15,Female,Asian,0,21,0.006934535878129
0,15,Female,Asian,0,22,0.0063060476976917
0,15,Female,Asian,0,23,0.0048163262870712
0,15,Female,Asian,0,24,0.0117854545750916
0,15,Female,Asian,0,25,0.0119183689225717
0,15,Female,Asian,0,26,0.0148802133047279
0,15,Female,Asian,0,27,0.0151760243529303
0,15,Female,Asian,0,28,0.006651096031814
0,15,Female,Asian,0,29,0.0098727766438556
0,15,Female,Asian,0,30,0.0084172927323748
0,15,Female,Asian,0,31,0.0104210991594822
0,15,Female,Asian,0,32,0.0081573756365719
0,15,Female,Asian,0,33,0.0109937744284282
0,15,Female,Asian,0,34,0.0112310888361585
0,15,Female,Asian,0,35,0.0126384463215606
0,15,Female,Asian,0,36,0.0138218844502256
0,15,Female,Asian,0,37,0.0113181437602125
0,15,Female,Asian,0,38,0.0070467539170594
0,15,Female,Asian,0,39,0.0105317963399112
0,15,Female,Asian,0,40,0.0057851493450511
0,15,Female,Asian,0,41,0.0132595965079771
0,15,Female,Asian,0,42,0.0085031666100726
0,15,Female,Asian,0,44,0.0125484851585078
0,15,Female,Asian,0,45,0.0090951771609833
0,15,Female,Asian,0,46,0.0074096451555637
0,15,Female,Asian,0,47,0.0105542463754742
0,15,Female,Asian,0,48,0.0119765119908687
0,15,Female,Asian,0,49,0.0179835236680163
0,15,Female,Asian,0,50,0.0043365616272559
0,15,Female,Asian,0,51,0.0135443397228866
0,15,Female,Asian,0,53,0.0171480696987961
0,15,Female,Asian,0,54,0.0067265622267358
0,15,Female,Asian,0,55,0.0110463935617802
0,15,Female,Asian,0,56,0.015355744803718
0,15,Female,Asian,1,1,0.0005077952509233
0,15,Female,Asian,1,2,0.0006380302045832
0,15,Female,Asian,1,4,0.0010234473948298
0,15,Female,Asian,1,5,0.0004990675200481
0,15,Female,Asian,1,6,0.0010038884726839
0,15,Female,Asian,1,8,0.0006475599706011
0,15,Female,Asian,1,9,0.0009060491804867
0,15,Female,Asian,1,10,0.0004037897913267
0,15,Female,Asian,1,11,0.0009471791972084
0,15,Female,Asian,1,12,0.001354635708022
0,15,Female,Asian,1,13,0.000644734287854
0,15,Female,Asian,1,15,0.0009214026978593
0,15,Female,Asian,1,16,0.0005141544460796
0,15,Female,Asian,1,17,0.0008392532156137
0,15,Female,Asian,1,18,0.0015466932547841
0,15,Female,Asian,1,19,0.0009788142515424
0,15,Female,Asian,1,20,0.0007030564939486
0,15,Female,Asian,1,21,0.0003923056584998
0,15,Female,Asian,1,22,0.0005141036704084
0,15,Female,Asian,1,23,0.0003820310580327
0,15,Female,Asian,1,24,0.0013359814750183
0,15,Female,Asian,1,25,0.0015926237981163
0,15,Female,Asian,1,26,0.0010207067508527
0,15,Female,Asian,1,27,0.0005212309043643
0,15,Female,Asian,1,28,0.0002722323174229
0,15,Female,Asian,1,29,0.0004044940049401
0,15,Female,Asian,1,30,0.0005274967301298
0,15,Female,Asian,1,31,0.0006320126578056
0,15,Female,Asian,1,32,0.000628057834374
0,15,Female,Asian,1,33,0.0004505452960328
0,15,Female,Asian,1,34,0.0007500785713156
0,15,Female,Asian,1,35,0.0005885931007232
0,15,Female,Asian,1,36,0.0008870571416021
0,15,Female,Asian,1,37,0.0006294806130611
0,15,Female,Asian,1,38,0.000445556514354
0,15,Female,Asian,1,39,0.0005442333558903
0,15,Female,Asian,1,40,0.0004137028586541
