age_group_id,age_group_name,sex_id,pregnant,hgb_lower_mild,hgb_upper_mild,hgb_lower_moderate,hgb_upper_moderate,hgb_lower_severe,hgb_upper_severe,hgb_lower_anemic,hgb_upper_anemic,hgb_upper_iv_target,hgb_lower_iv_target
7,10 to 14,2,0,110,115,80,110,0,80,0,115,100,0
8,15 to 19,2,0,110,120,80,110,0,80,0,120,100,0
9,20 to 24,2,0,110,120,80,110,0,80,0,120,100,0
10,25 to 29,2,0,110,120,80,110,0,80,0,120,100,0
11,30 to 34,2,0,110,120,80,110,0,80,0,120,100,0
12,35 to 39,2,0,110,120,80,110,0,80,0,120,100,0
13,40 to 44,2,0,110,120,80,110,0,80,0,120,100,0
14,45 to 49,2,0,110,120,80,110,0,80,0,120,100,0
15,50 to 54,2,0,110,120,80,110,0,80,0,120,100,0
7,10 to 14,2,1,110,115,80,110,0,80,0,115,100,0
8,15 to 19,2,1,100,110,70,99,0,70,0,110,100,0
9,20 to 24,2,1,100,110,70,99,0,70,0,110,100,0
10,25 to 29,2,1,100,110,70,99,0,70,0,110,100,0
11,30 to 34,2,1,100,110,70,99,0,70,0,110,100,0
12,35 to 39,2,1,100,110,70,99,0,70,0,110,100,0
13,40 to 44,2,1,100,110,70,99,0,70,0,110,100,0
14,45 to 49,2,1,100,110,70,99,0,70,0,110,100,0
15,50 to 54,2,1,100,110,70,99,0,70,0,110,100,0
16,55 to 59,2,1,100,110,70,99,0,70,0,110,100,0
