age_start,age_end,sex,race_ethnicity,relationship,proportion
0,15,Female,AIAN,Adopted child,0.006823
0,15,Female,AIAN,Biological child,0.167427
0,15,Female,AIAN,Child-in-law,0.000000
0,15,Female,AIAN,Foster child,0.097839
0,15,Female,AIAN,Grandchild,0.410253
0,15,Female,AIAN,Opp-sex partner,0.000000
0,15,Female,AIAN,Opp-sex spouse,0.000000
0,15,Female,AIAN,Other nonrelative,0.110244
0,15,Female,AIAN,Other relative,0.153501
0,15,Female,AIAN,Parent,0.000000
0,15,Female,AIAN,Parent-in-law,0.000000
0,15,Female,AIAN,Roommate,0.005129
0,15,Female,AIAN,Same-sex partner,0.000000
0,15,Female,AIAN,Same-sex spouse,0.000000
0,15,Female,AIAN,Sibling,0.005169
0,15,Female,AIAN,Stepchild,0.043615
0,15,Female,Asian,Adopted child,0.006284
0,15,Female,Asian,Biological child,0.308924
0,15,Female,Asian,Child-in-law,0.000000
0,15,Female,Asian,Foster child,0.038106
0,15,Female,Asian,Grandchild,0.306656
0,15,Female,Asian,Opp-sex partner,0.000000
0,15,Female,Asian,Opp-sex spouse,0.000000
0,15,Female,Asian,Other nonrelative,0.078153
0,15,Female,Asian,Other relative,0.212202
0,15,Female,Asian,Parent,0.000000
0,15,Female,Asian,Parent-in-law,0.000000
0,15,Female,Asian,Roommate,0.004726
0,15,Female,Asian,Same-sex partner,0.000000
0,15,Female,Asian,Same-sex spouse,0.000000
0,15,Female,Asian,Sibling,0.004761
0,15,Female,Asian,Stepchild,0.040186
0,15,Female,Black,Adopted child,0.009823
0,15,Female,Black,Biological child,0.171810
0,15,Female,Black,Child-in-law,0.000000
0,15,Female,Black,Foster child,0.073146
0,15,Female,Black,Grandchild,0.466091
0,15,Female,Black,Opp-sex partner,0.000000
0,15,Female,Black,Opp-sex spouse,0.000000
0,15,Female,Black,Other nonrelative,0.078904
0,15,Female,Black,Other relative,0.143673
0,15,Female,Black,Parent,0.000000
0,15,Female,Black,Parent-in-law,0.000000
0,15,Female,Black,Roommate,0.005816
0,15,Female,Black,Same-sex partner,0.000000
0,15,Female,Black,Same-sex spouse,0.000000
0,15,Female,Black,Sibling,0.005864
0,15,Female,Black,Stepchild,0.044873
0,15,Female,Latino,Adopted child,0.009098
0,15,Female,Latino,Biological child,0.207400
0,15,Female,Latino,Child-in-law,0.000000
0,15,Female,Latino,Foster child,0.054853
0,15,Female,Latino,Grandchild,0.414505
0,15,Female,Latino,Opp-sex partner,0.000000
0,15,Female,Latino,Opp-sex spouse,0.000000
0,15,Female,Latino,Other nonrelative,0.091144
0,15,Female,Latino,Other relative,0.140095
0,15,Female,Latino,Parent,0.000000
0,15,Female,Latino,Parent-in-law,0.000000
0,15,Female,Latino,Roommate,0.009193
0,15,Female,Latino,Same-sex partner,0.000000
0,15,Female,Latino,Same-sex spouse,0.000000
0,15,Female,Latino,Sibling,0.017131
0,15,Female,Latino,Stepchild,0.056582
0,15,Female,Multiracial or Other,Adopted child,0.011498
0,15,Female,Multiracial or Other,Biological child,0.171500
0,15,Female,Multiracial or Other,Child-in-law,0.000000
0,15,Female,Multiracial or Other,Foster child,0.085418
0,15,Female,Multiracial or Other,Grandchild,0.435773
0,15,Female,Multiracial or Other,Opp-sex partner,0.000000
0,15,Female,Multiracial or Other,Opp-sex spouse,0.000000
0,15,Female,Multiracial or Other,Other nonrelative,0.108993
0,15,Female,Multiracial or Other,Other relative,0.111028
0,15,Female,Multiracial or Other,Parent,0.000000
0,15,Female,Multiracial or Other,Parent-in-law,0.000000
0,15,Female,Multiracial or Other,Roommate,0.008624
0,15,Female,Multiracial or Other,Same-sex partner,0.000000
0,15,Female,Multiracial or Other,Same-sex spouse,0.000000
0,15,Female,Multiracial or Other,Sibling,0.008704
0,15,Female,Multiracial or Other,Stepchild,0.058462
0,15,Female,NHOPI,Adopted child,0.010049
0,15,Female,NHOPI,Biological child,0.178430
0,15,Female,NHOPI,Child-in-law,0.000000
0,15,Female,NHOPI,Foster child,0.060889
0,15,Female,NHOPI,Grandchild,0.440932
0,15,Female,NHOPI,Opp-sex partner,0.000000
0,15,Female,NHOPI,Opp-sex spouse,0.000000
0,15,Female,NHOPI,Other nonrelative,0.112505
0,15,Female,NHOPI,Other relative,0.117898
